Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,"Real UK gross disposable national income at market prices, constant border estimate",Real consumption,Real investment,Stockbuilding contribution,Real government consumption of goods and services,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),Employment,Unemployment rate,Average weekly hours worked,"Capital Services, whole economy",TFP growth,Labour productivity,Labour productivity.1,"Labour share, whole economy excluding rents",GDP deflator at market prices,Export prices,Import prices,Terms of Trade,$ Oil prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,10 year/medium-term government bond yields,Consols / long-term government bond yields,Mortgage rates,Corporate borrowing rate from banks,Corporate bond yields,Share prices,$/£ exchange rate,Real $/£ exchange rate,Nominal ERI,Real ERI,House price index,Credit ,Secured credit,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Notes and coin in circulation,Monetary base,M1,Broad Money ,Public sector Total Managed Expenditure,Public sector Total Managed Expenditure.1,Public Sector Total Receipts,Public Sector Total Receipts.1,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2,Central Government Gross Debt,Central Government Gross Debt.1,Trade deficit,Trade deficit.1,Current account ,Current account .1,Current account deficit including estimated non-monetary bullion flows,Current account deficit including estimated non-monetary bullion flows.1
Units,"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices","GB before 1801, GB+Ireland 1801-1920, GB + Northern Ireland after 1920.  Indexed to 100 in 1920",2013=100,approx. % difference from trend,"£mn, Chained Volume measure, 2013 prices.  Nominal GDI divided by private and public consumption deflator","£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices",pp contribution to GDP(E),"£mn, Chained Volume measure, 2013 prices","£mn, Chained Volume measure, 2013 prices. ","£mn, Chained Volume measure, 2013 prices.  ",£mn,£mn,£mn,000s,000s,000s,%,hours,"£mn, 2013 prices",%,"Real GDP per head, 2013 prices","Real GDP per hour, 2013 prices",share of GDP excluding rents,2013=100,2013=100,2013=100,2013=100,$ per barrel,"Average weekly earnings, £",2015=100,%,1900=100,2010=100,% end period,"%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","%, calendar year average","April 1962=100, Year end",Calendar year average,"Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, 1913=100","Calendar year average, Jan 2015 =100","Year end, £mn","Year end, £mn",% of nominal GDP,% of nominal GDP,"Year end, £mn","Year end, £mn","Year end, £mn","Year end, £mn","Year end, £mn","Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Calendar year total, £mn",as a % of nominal GDP,"Calendar Year end nominal par value outstanding, £mn",as a % of nominal GDP: measure 1,as a % of nominal GDP: measure 2,"Financial year end, nominal par value £mn","Financial year end, market value £mn",£mn,as a % of nominal GDP,£mn,as a % of nominal GDP,£mn,as a % of nominal GDP
1209,,,,,,,,,,,,,,,,,,,3626,,,,,,,,,,,,,,0.034,0.08,,51.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,,,,,,,,,,,,,3656,,,,,,,,,,,,,,0.030,0.08,2.58,44.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,,,,3686,,,,,,,,,,,,,,0.026,0.09,12.22,34.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,3717,,,,,,,,,,,,,,0.033,0.08,-12.32,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,,,,,,,,,,3747,,,,,,,,,,,,,,0.037,0.08,-3.37,57.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,,,,,,,,,,,,,,,,,,,3778,,,,,,,,,,,,,,0.041,0.08,-3.37,66.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,,,,,,,,,,,,,,,,,,,3810,,,,,,,,,,,,,,0.038,0.08,6.34,57.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,,,,,,,,,,,,,,,,,,,3841,,,,,,,,,,,,,,0.035,0.09,6.34,49.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,3873,,,,,,,,,,,,,,0.034,0.10,15.78,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
